DICDNet Image Quality Evaluation by Metal Size
Date: 2025-05-12 13:01:05
Results Directory: /home/mcosta/PycharmProjects/DICDNet/DICDNet/save_results
Model Evaluated: DICDNet
Total GT files found: 2000
Total files processed and metrics collected: 2000

--- Metrics by Metal Size Group (mean ± std) ---
Group Label                   Count           PSNR(img)             SSIM(img)            PSNR(hu)              SSIM(hu)
-----------------------------------------------------------------------------------------------------------------------
Large       ({1338, 3119}px)    400       35.55 ± 3.49         0.9770 ± 0.0054       27.34 ± 1.51         0.9432 ± 0.0132
Large-Med   ({688, 1329}px)     400       38.48 ± 3.28         0.9848 ± 0.0033       30.30 ± 1.94         0.9624 ± 0.0093
Medium      ({182, 371}px)      400       42.10 ± 3.67         0.9896 ± 0.0021       33.11 ± 1.70         0.9700 ± 0.0066
Med-Small   ({171, 180}px)      400       44.74 ± 2.75         0.9914 ± 0.0021       35.49 ± 2.15         0.9736 ± 0.0073
Small       ({54, 84}px)        400       45.35 ± 2.26         0.9919 ± 0.0016       35.98 ± 1.32         0.9746 ± 0.0064
-----------------------------------------------------------------------------------------------------------------------

--- Overall Summary (mean ± std across all processed files) ---
PSNR(img): 41.25 ± 4.88 (from 2000 images)
SSIM(img): 0.9869 ± 0.0064
PSNR(hu):  32.44 ± 3.69
SSIM(hu):  0.9648 ± 0.0146

--- Individual File Metrics Log ---
Filename            Prefix     MaskIdx  MaskArea   Group   PSNR(img)   SSIM(img)    PSNR(hu)    SSIM(hu)
88_gt_image.png     88               7      3119      G5       42.91      0.9851       30.96      0.9431
89_gt_image.png     89               8       182      G3       46.71      0.9924       35.21      0.9705
90_gt_image.png     90               9       180      G2       44.19      0.9923       35.45      0.9701
91_gt_image.png     91               0       371      G3       38.30      0.9875       31.77      0.9769
92_gt_image.png     92               1      1338      G5       33.63      0.9768       26.52      0.9617
93_gt_image.png     93               2       688      G4       38.11      0.9836       28.62      0.9703
94_gt_image.png     94               3        84      G1       44.86      0.9887       34.17      0.9759
95_gt_image.png     95               4       171      G2       45.33      0.9917       33.13      0.9787
96_gt_image.png     96               5        54      G1       44.34      0.9916       34.66      0.9801
97_gt_image.png     97               6      1329      G4       42.52      0.9820       34.27      0.9777
98_gt_image.png     98               7      3119      G5       39.13      0.9678       30.41      0.9623
99_gt_image.png     99               8       182      G3       41.64      0.9862       32.25      0.9720
100_gt_image.png    100              9       180      G2       43.47      0.9852       32.25      0.9712
101_gt_image.png    101              0       371      G3       42.66      0.9909       33.12      0.9728
102_gt_image.png    102              1      1338      G5       40.12      0.9817       27.74      0.9487
103_gt_image.png    103              2       688      G4       42.55      0.9877       30.23      0.9633
104_gt_image.png    104              3        84      G1       46.60      0.9915       35.73      0.9756
105_gt_image.png    105              4       171      G2       47.98      0.9932       37.12      0.9822
106_gt_image.png    106              5        54      G1       47.63      0.9932       35.76      0.9787
107_gt_image.png    107              6      1329      G4       43.17      0.9885       31.87      0.9681
108_gt_image.png    108              7      3119      G5       40.44      0.9827       28.54      0.9420
109_gt_image.png    109              8       182      G3       42.74      0.9909       34.28      0.9748
110_gt_image.png    110              9       180      G2       42.06      0.9890       32.82      0.9713
111_gt_image.png    111              0       371      G3       39.12      0.9877       31.21      0.9641
112_gt_image.png    112              1      1338      G5       34.12      0.9782       27.12      0.9449
113_gt_image.png    113              2       688      G4       31.45      0.9804       26.94      0.9521
114_gt_image.png    114              3        84      G1       44.82      0.9903       36.28      0.9691
115_gt_image.png    115              4       171      G2       45.37      0.9916       35.86      0.9698
116_gt_image.png    116              5        54      G1       46.00      0.9921       36.41      0.9714
117_gt_image.png    117              6      1329      G4       37.92      0.9813       32.90      0.9623
118_gt_image.png    118              7      3119      G5       33.17      0.9679       29.89      0.9388
119_gt_image.png    119              8       182      G3       40.78      0.9874       32.60      0.9620
120_gt_image.png    120              9       180      G2       42.24      0.9879       32.34      0.9615
121_gt_image.png    121              0       371      G3       39.08      0.9863       32.04      0.9641
122_gt_image.png    122              1      1338      G5       33.96      0.9762       27.27      0.9415
123_gt_image.png    123              2       688      G4       37.32      0.9816       27.42      0.9519
124_gt_image.png    124              3        84      G1       44.56      0.9892       35.62      0.9691
125_gt_image.png    125              4       171      G2       46.30      0.9904       35.06      0.9684
126_gt_image.png    126              5        54      G1       45.54      0.9907       35.44      0.9715
127_gt_image.png    127              6      1329      G4       41.96      0.9835       33.94      0.9648
128_gt_image.png    128              7      3119      G5       34.04      0.9689       28.35      0.9378
129_gt_image.png    129              8       182      G3       42.04      0.9872       31.59      0.9621
130_gt_image.png    130              9       180      G2       42.06      0.9866       32.18      0.9597
131_gt_image.png    131              0       371      G3       41.71      0.9892       30.48      0.9598
132_gt_image.png    132              1      1338      G5       35.89      0.9790       27.37      0.9371
133_gt_image.png    133              2       688      G4       39.82      0.9848       28.81      0.9495
134_gt_image.png    134              3        84      G1       46.01      0.9909       34.46      0.9625
135_gt_image.png    135              4       171      G2       46.58      0.9924       35.86      0.9677
136_gt_image.png    136              5        54      G1       44.83      0.9916       33.59      0.9676
137_gt_image.png    137              6      1329      G4       41.02      0.9843       33.56      0.9617
138_gt_image.png    138              7      3119      G5       35.73      0.9723       25.95      0.9217
139_gt_image.png    139              8       182      G3       44.99      0.9902       33.44      0.9607
140_gt_image.png    140              9       180      G2       42.77      0.9886       32.08      0.9571
141_gt_image.png    141              0       371      G3       41.24      0.9895       30.45      0.9650
142_gt_image.png    142              1      1338      G5       34.97      0.9787       26.54      0.9381
143_gt_image.png    143              2       688      G4       38.65      0.9860       29.22      0.9545
144_gt_image.png    144              3        84      G1       44.05      0.9910       33.75      0.9620
145_gt_image.png    145              4       171      G2       43.36      0.9931       36.51      0.9691
146_gt_image.png    146              5        54      G1       44.59      0.9919       34.04      0.9680
147_gt_image.png    147              6      1329      G4       35.13      0.9839       30.19      0.9555
148_gt_image.png    148              7      3119      G5       32.34      0.9739       24.39      0.9161
149_gt_image.png    149              8       182      G3       42.26      0.9900       32.42      0.9609
150_gt_image.png    150              9       180      G2       42.88      0.9898       33.04      0.9591
151_gt_image.png    151              0       371      G3       39.14      0.9883       31.64      0.9646
